	;Teste 1; Teste 2; Teste 3;Teste 4; Teste 5; Teste 6;Teste 7; Teste 8; Teste 9;Teste 10 
 Iteracao 8;-7,40422;-8,08161;-10,56288;-16,37233;-10,37442;-16,73877;-14,02151;-10,8657;-11,64468;-12,22885;
 Iteracao 9;-7,02834;-13,56132;-12,9603;-12,70841;-10,59799;-8,29459;-13,38973;-16,33933;-3,54521;-13,72363;
 Iteracao 10;-11,52099;-8,81831;-12,9603;-13,73091;-3,71463;-12,03888;-13,38973;-14,18222;-13,45743;-9,74905;

Média: ;-9,39855;-10,41675;-11,83276;-12,10106;-11,30711;-11,16436;-12,19064;-11,8295;-11,21488;-11,35624;
	;Teste 1; Teste 2; Teste 3;Teste 4; Teste 5; Teste 6;Teste 7; Teste 8; Teste 9;Teste 10 
 Iteracao 1;-11,94821;-14,40749;-12,09926;-8,03899;-10,59417;-16,65365;-16,65365;-13,73941;-6,92458;-8,48804;
 Iteracao 2;-2,96255;-9,74905;-16,52694;-16,87594;-10,44117;-16,65365;-13,68348;-10,52427;-6,92458;-8,48804;
 Iteracao 3;-6,87107;-9,44021;-16,52694;-16,19018;-10,44117;-5,93577;-13,68348;-10,52427;-13,45743;-13,45743;
 Iteracao 4;-7,43138;-10,51189;-14,88157;-11,54848;-10,44117;-16,65365;-10,15031;-11,52099;-13,64168;-12,9603;
 Iteracao 5;-7,43138;-12,03888;-11,31862;-11,70955;-7,46644;-16,65365;-12,81274;-16,75215;-13,64168;-10,51067;
 Iteracao 6;-16,81364;-9,39681;-13,38973;-13,3303;-10,56288;-16,75215;-12,81274;-4,338;-5,88207;-13,73941;
 Iteracao 7;-4,03722;-13,68348;-12,70841;-16,65365;-13,5299;-16,75215;-12,81274;-11,0394;-10,52427;-16,1482;
 Iteracao 8;-11,0394;-9,28137;-16,52694;-15,40337;-15,1947;-5,12333;-3,62446;-11,64468;-16,33933;-16,1482;
 Iteracao 9;-7,44128;-9,28137;-9,17055;-15,40337;-16,50155;-10,97044;-10,03959;-15,09884;-16,33933;-4,03871;
 Iteracao 10;-6,25172;-10,56288;-8,03899;-9,79235;-16,65365;-16,65365;-13,73941;-5,52405;-16,33933;-13,27866;

Média: ;-11,95474;-11,28297;-11,65279;-11,97414;-12,03358;-11,70177;-12,78894;-12,03258;-11,4285;-11,68347;
	;Teste 1; Teste 2; Teste 3;Teste 4; Teste 5; Teste 6;Teste 7; Teste 8; Teste 9;Teste 10 
 Iteracao 1;-13,00759;-0,8495;-10,20946;-3,62446;-10,52427;-15,40337;-10,60584;-13,60931;-15,74489;-16,1482;
 Iteracao 2;-10,03959;-13,17142;-10,20946;-5,12333;-16,63472;-2,22061;-10,60584;-15,40337;-7,10208;-16,1482;
 Iteracao 3;-11,0394;-3,35485;-16,73877;-16,8635;-16,63472;-4,03722;-10,60584;-11,31862;-6,40144;-7,22656;
 Iteracao 4;-16,82218;-12,81274;-13,27866;-9,48899;-16,63472;-15,1947;-11,64468;-16,87594;-16,73877;-11,20268;
 Iteracao 5;-12,03888;-12,81274;-16,52694;-15,40337;-12,9603;-15,1947;-15,98089;-7,40163;-16,73877;-11,20268;
 Iteracao 6;-4,27548;-13,11658;-15,40337;-15,92834;-8,66226;-16,63472;-15,98089;-10,61814;-16,73877;-16,65365;
 Iteracao 7;-13,38973;-16,37233;-7,46644;-15,92834;-13,27866;-16,63472;-9,28137;-10,59799;-16,73877;-16,65365;
 Iteracao 8;-1,79793;-13,5299;-16,1482;-16,63472;-10,13823;-9,05766;-13,27866;-10,59799;-12,70841;-13,72363;
 Iteracao 9;-12,22885;-13,5299;-16,73877;-16,63472;-15,40337;-11,82004;-13,27866;-16,87594;-12,70841;-13,72363;
 Iteracao 10;-10,13823;-8,92323;-16,73877;-16,63472;-15,40337;-9,74905;-7,40422;-11,0394;-12,70841;-13,72363;

Média: ;-10,97269;-10,66586;-10,42209;-14,06941;-13,62609;-13,40122;-13,6342;-11,76153;-14,29423;-12,2463;
	;Teste 1; Teste 2; Teste 3;Teste 4; Teste 5; Teste 6;Teste 7; Teste 8; Teste 9;Teste 10 
 Iteracao 1;-10,57074;-12,7202;-16,1482;-12,03888;-14,88157;-12,70841;-11,94821;-0,39525;-1,26337;-16,63472;
 Iteracao 2;-12,81274;-9,40884;-7,4194;-13,60931;-16,8635;-12,70841;-8,48804;1,47205;-13,18024;-16,8635;
 Iteracao 3;-12,03888;-8,66226;-15,92834;-10,27151;-16,8635;-7,40422;-10,56288;-16,37233;-4,11044;-13,38973;
 Iteracao 4;-5,30245;-12,48628;-12,48628;-15,67997;-16,8635;-16,8635;-7,02834;-14,02151;-13,64168;-11,31862;
 Iteracao 5;-6,92458;-10,51189;-16,87594;-16,82218;-15,40337;-16,8635;-9,34381;-12,35811;-16,81364;5,02779;
 Iteracao 6;-6,40281;-10,56288;-15,92834;-12,70841;-4,46943;-13,64168;-14,88157;-15,92834;-12,48628;-3,04468;
 Iteracao 7;-10,8657;-14,02151;-16,87594;-6,16164;-13,00759;-13,64168;-10,52427;-15,09884;-10,44117;-4,11588;
 Iteracao 8;-16,81364;-7,08119;-16,87594;-12,81274;-6,25829;-11,20268;-12,09926;-16,85935;-10,44117;-6,07568;
 Iteracao 9;-4,03871;-15,40337;-5,67784;-12,22885;-6,25829;-14,18222;-16,1482;-9,60414;-7,40422;-6,04497;
 Iteracao 10;-6,898;-3,43508;-12,9603;-11,70955;-7,02255;-13,64168;-16,1482;-8,82085;-12,50976;-10,51189;

Média: ;-10,93096;-10,9882;-11,56041;-12,56921;-11,68892;-11,00544;-11,47542;-11,65199;-9,69908;-10,36578;
	;Teste 1; Teste 2; Teste 3;Teste 4; Teste 5; Teste 6;Teste 7; Teste 8; Teste 9;Teste 10 
 Iteracao 1;-16,33933;-4,11588;-10,13823;0,65609;-6,16164;-7,27961;-13,72363;-7,71427;-13,73091;-15,67997;
 Iteracao 2;-16,33933;-6,42949;-16,75215;-15,92834;-4,57411;-16,63472;-15,48265;-15,74489;-14,54387;-16,37233;
 Iteracao 3;-7,4727;-5,82962;-4,9177;-15,92834;-4,35717;-16,63472;-15,48265;-6,92458;2,30522;-0,33918;
 Iteracao 4;-13,73091;-5,37631;-9,40884;-7,4481;-8,08161;-16,63472;-0,77154;-10,15031;-7,40422;-10,44117;
 Iteracao 5;-15,40337;-5,37631;-7,34767;-3,74376;-8,08161;-13,56132;-13,18024;-13,68348;-10,97044;-8,56379;
 Iteracao 6;-15,40337;-8,81831;-8,08161;-6,25829;-8,08161;-8,44356;-13,60931;-13,68348;-4,207;-12,09926;
 Iteracao 7;-16,73877;-9,05766;-10,97044;-13,68348;-7,71427;-13,5299;-11,54848;-13,64168;-8,38082;-16,33933;
 Iteracao 8;-9,96124;-12,09926;-14,76674;0,98669;-13,00759;-8,92561;-16,75215;-16,33933;-1,86315;-13,79727;
 Iteracao 9;-12,22885;2,31417;-14,76674;-2,85017;-13,18024;-7,02834;-16,8635;-6,04497;-11,94821;-14,02151;
 Iteracao 10;-7,44128;-11,94821;-2,56275;-13,56132;-13,18024;-5,61333;-15,1947;-10,01111;-15,67997;-14,02151;

Média: ;-9,42274;-13,88019;-7,55814;-8,94477;-9,9912;-9,86858;-12,16048;-10,65257;-9,66184;-10,92144;
	;Teste 1; Teste 2; Teste 3;Teste 4; Teste 5; Teste 6;Teste 7; Teste 8; Teste 9;Teste 10 
 Iteracao 1;-10,61814;-8,56379;-12,50976;2,94962;-16,81364;-11,94821;-13,27866;-13,60931;-8,91411;-7,52572;
 Iteracao 2;-10,03959;-7,34767;-12,50976;-13,69828;-16,81364;-10,3507;-4,51259;-13,60931;-6,60422;-13,56132;
 Iteracao 3;-9,05766;-11,31862;-12,50976;-15,40337;-16,81364;-16,75215;-14,18222;-7,22656;-13,60931;-16,19018;
 Iteracao 4;-2,86864;-12,70841;-12,50976;-12,5961;-4,57846;-9,28137;-10,15031;-9,79766;-6,71486;-16,19018;
 Iteracao 5;-9,28137;-13,60931;-10,13823;-14,88157;-11,17505;-7,37022;-9,48899;-10,3507;-9,68008;-13,61891;
 Iteracao 6;-16,37233;-6,11983;-15,67997;-14,88157;-11,70955;-13,73941;-2,2833;-10,3507;-1,21604;-10,57074;
 Iteracao 7;-10,61814;-7,95466;-9,05766;-2,39018;-11,17505;-6,05385;-13,27866;-1,28834;-11,64468;-12,50976;
 Iteracao 8;-4,27548;-7,95466;-11,0394;-13,38973;-11,17505;-7,10241;-13,27866;-4,57411;-7,10241;-1,86848;
 Iteracao 9;-8,92323;-13,5299;-16,63472;-7,4194;-11,17505;-10,13823;-11,82004;-3,50561;-13,41646;-13,73941;
 Iteracao 10;-12,22885;-7,52572;-16,63472;-9,40884;-6,61647;-13,5299;-13,27866;-7,08119;-15,67997;-13,73941;

Média: ;-10,08317;-10,90471;-13,30635;-9,73957;-10,95944;-10,29235;-8,5971;-8,17604;-11,0302;-11,57237;
